;conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username;label
10;1,78E+34;Wed Apr 17 23:34:01 +0000 2024;0;Kangen u...@livyyrenata;1,78074E+18;;;de;;0;0;0;https://twitter.com/Angelina0407_/status/1780741534700494983;1,52275E+18;Angelina0407_;positif
11;1,78E+33;Mon Apr 15 01:03:58 +0000 2024;1;@livyyrenata Next trip kemana Va?;1,77968E+18;;livyyrenata;in;;0;0;0;https://twitter.com/Angelina0407_/status/1779677007363862878;1,52275E+18;Angelina0407_;positif
12;1,78E+33;Sun Apr 14 12:21:38 +0000 2024;1;@livyyrenata Cipokkkkkkkk...... ;1,77949E+18;;livyyrenata;in;Indramayu-Cirebon Indonesia🇮;0;0;0;https://twitter.com/BeniFirdaus91/status/1779485163560611995;988701092;BeniFirdaus91;negatif
13;1,78E+33;Sun Apr 14 12:20:46 +0000 2024;3;@livyyrenata Livy cantik ;1,77948E+18;;livyyrenata;in;Yogyakarta, Indonesia;0;0;0;https://twitter.com/gypsophilap_/status/1779484943544168833;1404559003;gypsophilap_;positif
14;1,78E+34;Wed Apr 10 04:07:22 +0000 2024;9;@xccuratevlr GWS ko kepin;1,77791E+18;;xccuratevlr;in;Sydney, New South Wales;0;0;0;https://twitter.com/livyyrenata/status/1777911222140371283;1,27654E+18;livyyrenata;positif
15;1,78E+34;Fri Apr 05 14:37:11 +0000 2024;0;@livyyrenata Semangat gess !!;1,77626E+18;;livyyrenata;in;;0;0;0;https://twitter.com/Faradin90652286/status/1776257785031979108;1,66959E+18;Faradin90652286;positif
16;1,78E+34;Fri Apr 05 03:04:52 +0000 2024;2;@livyyrenata Lanjutkan Livy ... trakteer memang buat memberikan semangat mendukung creator berkarya;1,77608E+18;;livyyrenata;in;Bekasi, Jawa Barat;0;0;0;https://twitter.com/arwansinggih/status/1776083556068135124;2959333795;arwansinggih;positif
17;1,78E+34;Thu Apr 04 16:26:40 +0000 2024;1;@livyyrenata Jangan dengar apa kata orang tetap jadi diri sendiri dan berikan yg terbaik.. semangat ️;1,77592E+18;;livyyrenata;in;Semarang, Jawa Tengah;0;0;0;https://twitter.com/AyuSeptia1509/status/1775922946965737900;1,18288E+18;AyuSeptia1509;positif
18;1,78E+34;Thu Apr 04 12:56:37 +0000 2024;1;@livyyrenata Masih bahas trakteer. Ngga papa sih. Salahin aja mereka yg nyumbang. Kenapa mau. Semangat livy;1,77587E+18;;livyyrenata;in;;0;0;0;https://twitter.com/Rapriani1/status/1775870085133189561;1930528393;Rapriani1;postif
19;1,78E+34;Thu Apr 04 11:56:28 +0000 2024;0;@NegaWahlords @livyyrenata apa dah oi lu ngehubungin sama gaji wkwk alias lu ga nyambung bjir. aneh;1,77585E+18;;NegaWahlords;in;;0;0;0;https://twitter.com/cratcrottt/status/1775854949362290967;1,21323E+18;cratcrottt;negatif
20;1,78E+34;Thu Apr 04 06:41:47 +0000 2024;0;@livyyrenata Livy! Semangat terus ngejar semua goals-nya yaa!;1,77578E+18;;livyyrenata;in;Pekalongan, Indonesia;0;0;0;https://twitter.com/casya_casyy/status/1775775759191437778;1,75374E+18;casya_casyy;positif
21;1,78E+34;Thu Apr 04 06:31:46 +0000 2024;2;@livyyrenata Gue juga ngerasain gitu tapi kadang langganan itu worth it juga sih dapetin nilai lebih dari yang diharapin.;1,77577E+18;;livyyrenata;in;;0;0;0;https://twitter.com/Celseeeeea/status/1775773234597867762;1,75275E+18;Celseeeeea;positif
22;1,78E+34;Thu Apr 04 05:39:30 +0000 2024;0;@livyyrenata Santuy aja beb... Gapapa deh minta...;1,77576E+18;;livyyrenata;in;Jakarta Capital Region;0;0;0;https://twitter.com/igaam6/status/1775760083911311836;2795985608;igaam6;positif
23;1,78E+34;Thu Apr 04 05:36:56 +0000 2024;0;@livyyrenata Yeayyy mendukung creator liv...;1,77576E+18;;livyyrenata;en;;0;0;0;https://twitter.com/zahraipeh9/status/1775759437074169992;1,65435E+18;zahraipeh9;positif
24;1,78E+34;Thu Apr 04 05:32:16 +0000 2024;0;@livyyrenata Yuk semangatin terus Livy biar makin keren!;1,77576E+18;;livyyrenata;in;;0;0;0;https://twitter.com/aniesha66/status/1775758263742759287;1,74154E+18;aniesha66;positif
25;1,78E+34;Thu Apr 04 05:29:37 +0000 2024;0;@livyyrenata Haha beneran sih nggak ada habisnya tuh yang ngemis mulu ;1,77576E+18;;livyyrenata;in;;0;0;0;https://twitter.com/pu_trrii/status/1775757596399726813;1,72465E+18;pu_trrii;negatif
26;1,78E+34;Thu Apr 04 05:22:04 +0000 2024;0;@livyyrenata Mantap semangat terus Livy! Kamu bisa! ⭐;1,77576E+18;;livyyrenata;in;;0;0;0;https://twitter.com/pinddyyy/status/1775755697394991590;1,50499E+18;pinddyyy;positif
27;1,78E+34;Thu Apr 04 04:33:18 +0000 2024;2;@livyyrenata ya mau gimana lagi toh trakteer emang untuk konten creator kan liv?;1,77574E+18;;livyyrenata;in;;0;0;0;https://twitter.com/sibawaihizi/status/1775743423980662897;1,74727E+18;sibawaihizi;positif
28;1,78E+34;Thu Apr 04 04:16:19 +0000 2024;0;@livyyrenata Gpp livy kamu harus tetep semangat yaa ;1,77574E+18;;livyyrenata;in;;0;0;0;https://twitter.com/Zayyidahsmr/status/1775739150198870169;1,75636E+18;Zayyidahsmr;positif
29;1,78E+34;Thu Apr 04 00:30:48 +0000 2024;0;@livyyrenata @NegaWahlords LOL emang suka gtu gorengan konten . Pada cari sensasi ;1,77568E+18;;livyyrenata;in;;0;0;0;https://twitter.com/PaksoeckaMecki/status/1775682396157018519;1,69219E+18;PaksoeckaMecki;negatif
30;1,78E+34;Wed Apr 03 19:03:29 +0000 2024;1;@livyyrenata Nggak apa2 Livy banyak yang dukung kamu kok itu yang bilang kamu pengemis itu orang yang iri sama kamu;1,7756E+18;;livyyrenata;in;;0;0;0;https://twitter.com/fatimahak17/status/1775600024472502450;1,59074E+18;fatimahak17;positif
31;1,78E+34;Wed Apr 03 16:10:52 +0000 2024;1;@livyyrenata Aku cukup yakin gaji mereka ga ada yg diatas 10jt/bulan karna keliatan ya menurut mereka cuma dari trakteer bisa beli mobil. Biasa typical sdm rendah hahaha;1,77556E+18;;NegaWahlords;in;Indonesia;0;1;0;https://twitter.com/NegaWahlords/status/1775556582539235662;1052058308;NegaWahlords;negatif
32;1,78E+34;Wed Apr 03 16:04:44 +0000 2024;1;@livyyrenata Tergantung Mindset.. Dan Mindset Orang Beda-beda.. Jadi Sah-sah Aja.. *Tapi Aku Suka Cara Berpikir Kamu..;1,77556E+18;;livyyrenata;in;ɐuɐpɹɐʍɐʎɐɾ ɐɟıɥsɐuɐʎǝɹɟ;0;0;0;https://twitter.com/4mannation/status/1775555041925157141;402581815;4mannation;positif
33;1,78E+34;Wed Apr 03 14:15:30 +0000 2024;1;@livyyrenata SEMANGATT KAK Livy!! ;1,77553E+18;;livyyrenata;in;;0;0;0;https://twitter.com/ihsa0931/status/1775527551718551922;1,67411E+18;ihsa0931;positif
34;1,78E+34;Wed Apr 03 13:53:14 +0000 2024;0;@livyyrenata Mendukung creator sama-sama maju yuk ya yuk;1,77552E+18;;livyyrenata;in;;0;0;0;https://twitter.com/radimavitriani/status/1775521946274525385;1,65399E+18;radimavitriani;positif
35;1,78E+34;Wed Apr 03 13:13:52 +0000 2024;8;@livyyrenata Tenang kamu nggak sendiri Livy wkwk ini suatu hal biasa kok dan bukan suatu hal buruk juga. Cuma beda cara orang mengapresiasi konten kreator aja https://t.co/UzNJAmwDkP;1,77551E+18;https://pbs.twimg.com/media/GKPiyVoaAAAOWAO.jpg;livyyrenata;in;;0;0;0;https://twitter.com/KrissChandraWu/status/1775512041392046269;1,06905E+18;KrissChandraWu;positif
36;1,78E+34;Wed Apr 03 12:34:25 +0000 2024;3;@livyyrenata Waduh.. kocak deh ngemis mulu wkwkwwkm misqueen misqueen;1,7755E+18;;livyyrenata;in;bekasi;0;0;0;https://twitter.com/RetnoGeno/status/1775502111096336607;3317587273;RetnoGeno;negatif
37;1,78E+34;Wed Apr 03 12:33:49 +0000 2024;0;@livyyrenata trakteer bukannya emg buat kreator ya;1,7755E+18;;livyyrenata;in;;0;0;0;https://twitter.com/diniamaliya/status/1775501960927711595;135086920;diniamaliya;positif
38;1,78E+34;Wed Apr 03 12:33:32 +0000 2024;1;@livyyrenata Bener banget ya jadi kaya subs instagram. Semangat terus ka livy ;1,7755E+18;;livyyrenata;in;;0;0;0;https://twitter.com/Linggaratu18/status/1775501890371084482;1,75014E+18;Linggaratu18;positif
39;1,77E+33;Sun Mar 31 12:23:33 +0000 2024;0;@livyyrenata kyuttt;1,77441E+18;;livyyrenata;in;Indonesia;0;0;0;https://twitter.com/stilltheoneonly/status/1774412214700818650;1,23704E+18;stilltheoneonly;positif
40;1,77E+34;Sun Mar 31 08:36:16 +0000 2024;0;@Alexbizzer07 @justmas2biasa @godhendi @livyyrenata gausah ngatain orang foma fomo foma fomo. dikira gw gak ngikutin streamer apa cuman konsennya kan donate tersebut ditujukannya buat apa dan seperti apa (buka donate nya kagak salah tapi tujuan dari donat;1,77436E+18;;Alexbizzer07;in;He/Him;0;1;0;https://twitter.com/hi_excalibluu/status/1774355018050867250;1,16905E+18;hi_excalibluu;negatif
41;1,77E+33;Sat Mar 30 21:44:55 +0000 2024;0;@dayeVLR @livyyrenata @howtodresvvell Ohh gamers kan pasti rau dong dunia perdonate-an banyak juga tuh streamer atau konten kreator minta dan cosplayer minta donate secara ga langsung atau langsung wkwkwk serius jangan cepet di begoin sama beginian ;1,77419E+18;;dayeVLR;in;;0;0;0;https://twitter.com/Alexbizzer07/status/1774191096794657125;1,74816E+18;Alexbizzer07;negatif
42;1,77E+33;Sat Mar 30 21:42:45 +0000 2024;0;@ashg0ry @mujibekk @dayeVLR @livyyrenata @howtodresvvell Yoii soalnya gw ga goblok kaya kalian yang langsung judge org itu salah lu ga tau aja banyak streamer atau kontwk kreator yang udah kaya masi minta donate lunya aja bego wkwkwkw;1,77419E+18;;ashg0ry;in;;0;0;0;https://twitter.com/Alexbizzer07/status/1774190552902512873;1,74816E+18;Alexbizzer07;negatif
43;1,77E+34;Sat Mar 30 21:39:58 +0000 2024;0;@justmas2biasa @godhendi @livyyrenata Setidaknya gw pake otak sebelum cibirin urusan org biar lu pada ga bego si kemakan isu yang blm pasti wkwkwk;1,77419E+18;;justmas2biasa;in;;0;0;0;https://twitter.com/Alexbizzer07/status/1774189854173356365;1,74816E+18;Alexbizzer07;negatif
44;1,77E+34;Sat Mar 30 21:39:08 +0000 2024;0;@godhendi @justmas2biasa @livyyrenata Emang tau apa lu gw buat akun baru? Emang ini akun asli gw setidaknya gw bisa mikir kalau lu baru tau dunia donate gitu jangan sok tau serius banyak di luar sana org udah kaya masi minta donate tolol R7 aja yang udh t;1,77419E+18;;godhendi;in;;0;0;0;https://twitter.com/Alexbizzer07/status/1774189645175369850;1,74816E+18;Alexbizzer07;negatif
45;1,77E+34;Sat Mar 30 21:37:07 +0000 2024;0;@godhendi @livyyrenata Lahhhh dia juga gabakalan ngasi memek dia ke gw karena gw bela si livy kalian aja yang terlalu bego serius wkwkwkw udah di kasi clue sama si livy masih kemakan aja otak di pake lah sedikit jangan fomo;1,77419E+18;;godhendi;in;;0;0;0;https://twitter.com/Alexbizzer07/status/1774189135005397257;1,74816E+18;Alexbizzer07;negatif
46;1,77E+34;Sat Mar 30 21:35:41 +0000 2024;0;@hi_excalibluu @justmas2biasa @godhendi @livyyrenata Lah pertanyaan gw skrng salah dimana? lu pernah liat streamer minta donate juga ga? Kalau lu belum pernah liat diem aja mending dari pada jadi fomo julid malu sendri nanti wkwkwkwk;1,77419E+18;;hi_excalibluu;in;;0;1;0;https://twitter.com/Alexbizzer07/status/1774188775679332825;1,74816E+18;Alexbizzer07;negatif
47;1,77E+34;Sat Mar 30 21:34:26 +0000 2024;0;@Allsh42 @livyyrenata Elu yang bego kemakan strategi livy buat viralin dirinya wkwkwk tolol banget heran lu juga ga donate cuman bisa julid-in org bisa apa? Emang lu tau kalau dia beli tu mobil pure dari uang hasil donate semua? Wkwkwkwk itu donate dari a;1,77419E+18;;Allsh42;in;;0;0;0;https://twitter.com/Alexbizzer07/status/1774188460817199348;1,74816E+18;Alexbizzer07;negatif
48;1,77E+34;Sat Mar 30 05:25:17 +0000 2024;0;Menurut gue @livyyrenata itu pintar &amp;;;;;;;;;;;;positif
49;1,77E+34;Fri Mar 29 13:42:58 +0000 2024;0;@SelebtwitMobil @livyyrenata Koreksi 'mami you' yg bener ;1,77371E+18;;SelebtwitMobil;in;East Java, Indonesia;0;1;0;https://twitter.com/anugrahsuwita/status/1773707424714875082;81100902;anugrahsuwita;positif
50;1,77E+34;Fri Mar 29 12:41:19 +0000 2024;1;@SelebtwitMobil @livyyrenata @dyanaputrin minta mobil apa? buru di payment ‍️;1,77369E+18;;SelebtwitMobil;in;;0;1;0;https://twitter.com/haisugaaa/status/1773691908054827315;1,69935E+18;haisugaaa;negatif
51;1,77E+34;Fri Mar 29 12:39:33 +0000 2024;19;Hai @livyyrenata mami kamu suka mobil apa?;1,77369E+18;;;in;;0;5;7;https://twitter.com/SelebtwitMobil/status/1773691463768895517;1,48442E+18;SelebtwitMobil;positif
52;1,77E+34;Fri Mar 29 07:44:49 +0000 2024;0;@livyyrenata Yahhh di apus lawak cik;1,77362E+18;;livyyrenata;in;South Carolina, USA;0;0;0;https://twitter.com/blibelis/status/1773617291134931391;1,12527E+18;blibelis;negatif
53;1,77E+34;Fri Mar 29 06:06:30 +0000 2024;0;@twooneputry @livyyrenata Trakteer cuy. Keknya blom oen Of tkut dikatain Hoe kli bruakaka;1,77359E+18;;twooneputry;in;Kung Lao underwear;0;0;0;https://twitter.com/DkevinArts47/status/1773592549317378256;1,61758E+18;DkevinArts47;negatif
54;1,77E+33;Thu Mar 28 02:53:21 +0000 2024;1;@livyyrenata alhamdulillah walau miskin gue gapernah ngemis beli apa2 kerja keras dulu gpp lebih enak duit sendiri dr pada donasi orang2 ;1,77318E+18;;livyyrenata;in;;0;0;0;https://twitter.com/shadestaekook/status/1773181556900626583;1,10083E+18;shadestaekook;negatif
55;1,77E+34;Wed Mar 27 20:16:30 +0000 2024;0;@livyyrenata Money laundering sih ini. Cara nyucinya aja yang beda;1,77308E+18;;livyyrenata;in;Perth, Western Australia;0;0;0;https://twitter.com/arminiusrx/status/1773081684390330854;7,48313E+17;arminiusrx;negatif
56;1,77E+34;Wed Mar 27 17:09:41 +0000 2024;0;@livyyrenata Udah kepalang tanggung sekalian aja di komediin biar bias ehh makin blunder ;1,77303E+18;;livyyrenata;in;;0;0;0;https://twitter.com/Hibro23226997/status/1773034672458440996;1,14928E+18;Hibro23226997;negatif
57;1,77E+33;Wed Mar 27 09:53:17 +0000 2024;0;@iyamrenzia @GRESAIDZ @livyyrenata keren bgt ;1,77292E+18;;iyamrenzia;in;Planet earth - TRN701;0;0;0;https://twitter.com/poor_par/status/1772924845174423876;1,06509E+18;poor_par;positif
58;1,77E+34;Wed Mar 27 09:28:25 +0000 2024;0;@IsilArmstrong wkwk iya pernah liat vidionya parah bgt nih org tinggal di tanah Indonesia ga tau mantan presiden @livyyrenata;1,77292E+18;;IsilArmstrong;in;;0;0;0;https://twitter.com/beingriches/status/1772918589076443510;1,72137E+18;beingriches;negatif
59;1,77E+33;Tue Mar 26 13:09:52 +0000 2024;0;serem die hardnya @livyyrenata galak2 banget wkwkwk;1,77261E+18;;;in;;0;0;0;https://twitter.com/beuterperkins/status/1772611932232487038;1,21991E+18;beuterperkins;negatif
60;1,77E+34;Tue Mar 26 11:32:11 +0000 2024;0;@livyyrenata KOCAK Yang kaya makin kaya... Apalagi PIK mau jadi Kawasan Ekonomi Khusus oleh Presiden @jokowi ... Tambah kaya orang-orang yg 1 RAS dengan anda ya... ;1,77259E+18;;livyyrenata;in;Indonesia;0;0;0;https://twitter.com/RifGal12/status/1772587348523454903;1,0277E+18;RifGal12;negatif
61;1,77E+34;Tue Mar 26 10:25:18 +0000 2024;0;@livyyrenata Ga tau malu.;1,77257E+18;;livyyrenata;in;;0;0;0;https://twitter.com/secondcoins/status/1772570515317891363;1,74653E+18;secondcoins;negatif
62;1,77E+34;Tue Mar 26 10:19:25 +0000 2024;0;@livyyrenata gamau bantu barca beli haaland kah;1,77257E+18;;livyyrenata;in;;0;0;0;https://twitter.com/outofwhaack/status/1772569037114867788;1,33991E+18;outofwhaack;negatif
63;1,77E+34;Tue Mar 26 10:05:09 +0000 2024;0;@livyyrenata org gila;1,77257E+18;;livyyrenata;in;;0;0;0;https://twitter.com/legaldrugg/status/1772565445259800637;1,75669E+18;legaldrugg;negatif
64;1,77E+34;Tue Mar 26 09:09:01 +0000 2024;2;@livyyrenata wkwk people yg comment dsni are literally people yg close minded itu trakteer tuh sejenis saweria/sociabuzz jd ya donasi2 itu tuh bentuk support kalian ke creator knp jd jatuhny diblg ngemis? toh kan g dipaksa juga ;1,77255E+18;;livyyrenata;in;;0;1;0;https://twitter.com/creampeachlatte/status/1772551319770841417;1,53529E+18;creampeachlatte;positif
65;1,77E+33;Tue Mar 26 09:00:18 +0000 2024;0;@lemonade1401 @andhika20pk @howtodresvvell @livyyrenata Kemaluan lo kan gak sama dng dia;1,77255E+18;;lemonade1401;in;;0;0;0;https://twitter.com/tkbubut/status/1772549123788701947;4756018272;tkbubut;negatif
66;1,77E+33;Tue Mar 26 08:56:51 +0000 2024;0;mo kaya @livyyrenata;1,77255E+18;;;tl;Land of Dawn;0;0;0;https://twitter.com/mamangrtweet/status/1772548255106126216;9,99714E+17;mamangrtweet;negatif
67;1,77E+34;Tue Mar 26 08:44:12 +0000 2024;0;@digoindo Pppp info ngemis wkwk @livyyrenata;1,77255E+18;;digoindo;in;;0;0;0;https://twitter.com/lordnunez9/status/1772545075161309486;7,97553E+17;lordnunez9;negatif
68;1,77E+34;Tue Mar 26 08:42:10 +0000 2024;0;@digoindo Besok minta zakat gak @livyyrenata;1,77254E+18;;digoindo;in;;0;0;0;https://twitter.com/alveragavi/status/1772544563560743131;7,63825E+17;alveragavi;negatif
69;1,77E+34;Tue Mar 26 08:24:15 +0000 2024;0;@livyyrenata kontol lu ngentot ngentot lu memek. dasar kontoll;1,77254E+18;;livyyrenata;in;mental health service;0;0;0;https://twitter.com/canonautoboy/status/1772540054268965202;8,00346E+17;canonautoboy;negatif
70;1,77E+33;Tue Mar 26 07:37:13 +0000 2024;0;@02_jqr @kiddiejaemin @livyyrenata @howtodresvvell ngapain beli foto dia? lol;1,77253E+18;;02_jqr;in;;0;0;0;https://twitter.com/cottadgecore/status/1772528218337411090;1,69937E+18;cottadgecore;negatif
71;1,77E+34;Tue Mar 26 07:35:05 +0000 2024;0;@livyyrenata Next bantu lunasin utang negara;1,77253E+18;;livyyrenata;in;Di Rumah Aja;0;0;0;https://twitter.com/frhnkid/status/1772527678366622056;1,01757E+18;frhnkid;negatif
72;1,77E+34;Tue Mar 26 07:11:55 +0000 2024;0;@valdo__13 @livyyrenata Dia orkay gasi anjing;1,77252E+18;;valdo__13;in;;0;0;0;https://twitter.com/RevonnatorV2/status/1772521849001267692;1,68772E+18;RevonnatorV2;negatif
73;1,77E+34;Tue Mar 26 06:02:23 +0000 2024;0;@ulahnetijen @livyyrenata bodoh;1,7725E+18;;ulahnetijen;in;;0;0;0;https://twitter.com/Wang893/status/1772504351501881628;1,3701E+18;Wang893;negatif
74;1,77E+34;Tue Mar 26 05:43:43 +0000 2024;0;@livyyrenata Awowkowkwok hasil ngemis online;1,7725E+18;;livyyrenata;in;Kota Palembang, Sumatera Selat;0;0;0;https://twitter.com/hanchaka5/status/1772499654409621813;1,05213E+18;hanchaka5;negatif
75;1,77E+33;Tue Mar 26 05:33:06 +0000 2024;1;@lemonade1401 @andhika20pk @howtodresvvell @livyyrenata Hha foto 18+ darimana kocak. lagian ribet amat lu ngurusin livy dr kemaren2 mending bersihin tuh hati lo yg kotor dendam amat lu sama livy kayak yg rugiin hidup lu aja..;1,7725E+18;;lemonade1401;in;;0;1;0;https://twitter.com/natasyapjt/status/1772496982889640391;1527006936;natasyapjt;negatif
76;1,77E+33;Tue Mar 26 05:09:26 +0000 2024;6;@natasyapjt @andhika20pk @howtodresvvell @livyyrenata Iya jualan foto 18+;1,77249E+18;;natasyapjt;in;;0;1;0;https://twitter.com/lemonade1401/status/1772491024784363554;1,01625E+18;lemonade1401;negatif
77;1,77E+33;Tue Mar 26 05:07:34 +0000 2024;1;@lemonade1401 @andhika20pk @howtodresvvell @livyyrenata Yaelah itukan emg platform tempat menjual sesuatu kocak. Emg dia aja yg jualan disitu? Dia jual exclusive selfies dia kalo mau dpt konten exclusive ya hrs bayar sama aja kayak langganan berbayar IG y;1,77249E+18;;lemonade1401;in;;0;1;0;https://twitter.com/natasyapjt/status/1772490558126063704;1527006936;natasyapjt;negatif
78;1,77E+34;Tue Mar 26 04:54:39 +0000 2024;0;@livyyrenata Udah selesai nyumbang waktunya jadi budak korporate;1,77249E+18;;livyyrenata;in;Everywhere;0;0;0;https://twitter.com/Aldohimaone/status/1772487305808535842;1,08976E+18;Aldohimaone;negatif
79;1,77E+33;Tue Mar 26 04:49:56 +0000 2024;4;@natasyapjt @andhika20pk @howtodresvvell @livyyrenata Diakan sengaja ngejual n dikomersilkan jatuhnya ewww;1,77249E+18;;natasyapjt;in;;0;1;0;https://twitter.com/lemonade1401/status/1772486120216858654;1,01625E+18;lemonade1401;negatif
80;1,77E+33;Tue Mar 26 04:45:41 +0000 2024;1;@lemonade1401 @andhika20pk @howtodresvvell @livyyrenata Terus lo nyalahin livy karena otak kotor si cowok komen sprti itu? Mau post pakaian tertutup kayak astronot jg kalo emg orgnya yg gak bener ya ttp aja msh punya kesempatan kena sexual harrashment ckc;1,77249E+18;;lemonade1401;in;;0;1;0;https://twitter.com/natasyapjt/status/1772485049591464291;1527006936;natasyapjt;positif
81;1,77E+34;Tue Mar 26 04:32:37 +0000 2024;0;@livyyrenata Serius nanya dia itu bego beneran apa dibego2in ?? Mau beli helicopter ya kerja kok ngemis ;1,77248E+18;;livyyrenata;in;;0;0;0;https://twitter.com/megaanuzulia/status/1772481759751594178;1,7265E+18;megaanuzulia;negatif
82;1,77E+34;Tue Mar 26 04:11:32 +0000 2024;0;@fajarhndsyh @livyyrenata Kontol;1,77248E+18;;fajarhndsyh;in;;0;0;0;https://twitter.com/JibulBois/status/1772476454007169287;1464592213;JibulBois;negatif
83;1,77E+34;Tue Mar 26 04:08:26 +0000 2024;0;@Alexbizzer07 @livyyrenata merasa keren pasti lu;1,77248E+18;;Alexbizzer07;in;Jakarta Capital Region;0;0;0;https://twitter.com/farenzky/status/1772475675976351908;1620704382;farenzky;negatif
84;1,77E+34;Tue Mar 26 03:45:30 +0000 2024;0;@livyyrenata kok malah jadi mental pengemis gini dah;1,77247E+18;;livyyrenata;in;rant, dnf ;0;0;0;https://twitter.com/ccrsen/status/1772469905037619463;1,55829E+18;ccrsen;negatif
85;1,77E+34;Tue Mar 26 02:56:58 +0000 2024;0;@livyyrenata Itu Parkir Helicopter dimana ya? jadi penasaran ;1,77246E+18;;livyyrenata;in;Jakarta;0;0;0;https://twitter.com/DavidIqbal524/status/1772457688376516997;1,63971E+18;DavidIqbal524;
86;1,77E+34;Tue Mar 26 01:25:02 +0000 2024;0;@livyyrenata Next donasi buat adain the purge pembersihan;1,77243E+18;;livyyrenata;in;Bandung, Jawa Barat;0;0;0;https://twitter.com/NotKanyeLmao/status/1772434555615523144;1,57971E+18;NotKanyeLmao;negatif
87;1,77E+34;Tue Mar 26 01:01:57 +0000 2024;0;@fluwffydream @livyyrenata bjir segitunya;1,77243E+18;;fluwffydream;in;stay fuckin mad;0;0;0;https://twitter.com/pibeyz/status/1772428745631994349;1,48624E+18;pibeyz;negatif
88;1,77E+33;Tue Mar 26 00:58:53 +0000 2024;1;@livyyrenata @howtodresvvell Anying orang² kita tuh kenapa sih emang goblok natural kebanyakan masyarakat kita tuh https://t.co/wkcDAu6iGX;1,77243E+18;https://pbs.twimg.com/media/GJjt2PUa0AAlp8X.jpg;livyyrenata;in;Jakarta Capital Region;0;0;0;https://twitter.com/feldschalt/status/1772427972722528455;1,17055E+18;feldschalt;negatif
